"state","driver_race","pre_legalization","date_start","date_end","search_rate_start","search_rate_end"
"AZ","White",FALSE,2012-12-09,2015-11-30,0.0332195998030462,0.0324721205716683
"AZ","White",TRUE,2011-01-01,2012-12-08,0.0417367639998749,0.0288663805730201
"AZ","Black",FALSE,2012-12-09,2015-11-30,0.0766498648316665,0.0750009663488845
"AZ","Black",TRUE,2011-01-01,2012-12-08,0.0922223394679371,0.0648370620770579
"AZ","Hispanic",FALSE,2012-12-09,2015-11-30,0.0718382168769888,0.0702849479573224
"AZ","Hispanic",TRUE,2011-01-01,2012-12-08,0.0984202783803047,0.0693351058884105
"CA","White",FALSE,2012-12-09,2015-12-31,0.00137047083449284,0.00131957279852949
"CA","White",TRUE,2011-01-01,2012-12-08,0.0011135491035294,0.00126837107332192
"CA","Black",FALSE,2012-12-09,2015-12-31,0.00227021319621763,0.00218597269599093
"CA","Black",TRUE,2011-01-01,2012-12-08,0.0021039959038698,0.00239619401190617
"CA","Hispanic",FALSE,2012-12-09,2015-12-31,0.00188322269073147,0.00181331609743037
"CA","Hispanic",TRUE,2011-01-01,2012-12-08,0.00148940157714418,0.00169639133792309
"MA","White",FALSE,2012-12-09,2015-12-31,0.00782162722785882,0.0031979303752082
"MA","White",TRUE,2011-01-01,2012-12-08,0.00749784465645861,0.00703882454968105
"MA","Black",FALSE,2012-12-09,2015-12-31,0.0141955565594628,0.00582608387697255
"MA","Black",TRUE,2011-01-01,2012-12-08,0.0156646032108067,0.0147130235644231
"MA","Hispanic",FALSE,2012-12-09,2015-12-31,0.0203838273627425,0.00839692676622562
"MA","Hispanic",TRUE,2011-01-01,2012-12-08,0.0186844048618821,0.0175526521151931
"MT","White",FALSE,2012-12-09,2015-12-31,0.00178048445424046,0.0039494760995291
"MT","White",TRUE,2011-01-01,2012-12-08,0.00170640413498358,0.0013312776559437
"MT","Black",FALSE,2012-12-09,2015-12-31,0.00823264942362763,0.0181190179452709
"MT","Black",TRUE,2011-01-01,2012-12-08,0.0086451170569844,0.00675494356649028
"MT","Hispanic",FALSE,2012-12-09,2015-12-31,0.00622747642480498,0.0137392444761403
"MT","Hispanic",TRUE,2011-01-01,2012-12-08,0.0104261708994862,0.00814978803664151
"NC","White",FALSE,2012-12-09,2015-12-31,0.00150179578556075,0.00177060944132431
"NC","White",TRUE,2011-01-01,2012-12-08,0.000842907474818677,0.000941612812527265
"NC","Black",FALSE,2012-12-09,2015-12-31,0.00249643262992304,0.00294275642047111
"NC","Black",TRUE,2011-01-01,2012-12-08,0.00122541059259467,0.00136884607687608
"NC","Hispanic",FALSE,2012-12-09,2015-12-31,0.0031020862105536,0.00365629465389944
"NC","Hispanic",TRUE,2011-01-01,2012-12-08,0.00233086685964299,0.00260335978513961
"OH","White",FALSE,2012-12-09,2015-12-31,0.0264684680839204,0.029417768961374
"OH","White",TRUE,2011-01-01,2012-12-08,0.0245894729963522,0.0248234139317753
"OH","Black",FALSE,2012-12-09,2015-12-31,0.0700302065003522,0.0774473131289544
"OH","Black",TRUE,2011-01-01,2012-12-08,0.0562461453542471,0.0567637366803789
"OH","Hispanic",FALSE,2012-12-09,2015-12-31,0.0631340998875041,0.0698756989684253
"OH","Hispanic",TRUE,2011-01-01,2012-12-08,0.0629816633721813,0.0635570624754805
"RI","White",FALSE,2012-12-09,2015-12-31,0.0116855329030659,0.00656767867905239
"RI","White",TRUE,2011-01-01,2012-12-08,0.0107468577765523,0.00829696909507636
"RI","Black",FALSE,2012-12-09,2015-12-31,0.0287791610831354,0.0162983551378019
"RI","Black",TRUE,2011-01-01,2012-12-08,0.0225836438328306,0.0174830909060774
"RI","Hispanic",FALSE,2012-12-09,2015-12-31,0.0221995249719419,0.0125353149965439
"RI","Hispanic",TRUE,2011-01-01,2012-12-08,0.0181995668489756,0.0140749065989247
"SC","White",FALSE,2012-12-09,2015-12-31,0.0195912485328173,0.0199169230364516
"SC","White",TRUE,2011-01-01,2012-12-08,0.021356588943321,0.0187347659212007
"SC","Black",FALSE,2012-12-09,2015-12-31,0.0293676655443082,0.0298509097571626
"SC","Black",TRUE,2011-01-01,2012-12-08,0.0305405954452055,0.0268222069547532
"SC","Hispanic",FALSE,2012-12-09,2015-12-31,0.055898184934973,0.0567924447851119
"SC","Hispanic",TRUE,2011-01-01,2012-12-08,0.0753696032621853,0.0665679550367761
"TX","White",FALSE,2012-12-09,2015-12-31,0.0102326499301253,0.00828925921359318
"TX","White",TRUE,2011-01-01,2012-12-08,0.0130577445418857,0.0098608536427188
"TX","Black",FALSE,2012-12-09,2015-12-31,0.0242195049730937,0.0196725209443673
"TX","Black",TRUE,2011-01-01,2012-12-08,0.0342221429048657,0.0259800315625772
"TX","Hispanic",FALSE,2012-12-09,2015-12-31,0.0157498597192586,0.0127721588019029
"TX","Hispanic",TRUE,2011-01-01,2012-12-08,0.0219723611105598,0.0166297048962445
"VT","White",FALSE,2012-12-09,2015-12-31,0.00924842669354851,0.00859485487728836
"VT","White",TRUE,2011-01-01,2012-12-08,0.00529459447883868,0.00682459491278663
"VT","Black",FALSE,2012-12-09,2015-12-31,0.041501797257943,0.0386578655009123
"VT","Black",TRUE,2011-01-02,2012-12-07,0.0183884075580529,0.0235957106826795
"VT","Hispanic",FALSE,2012-12-10,2015-12-28,0.0275962880596788,0.0256863356794496
"VT","Hispanic",TRUE,2011-01-01,2012-12-08,0.0134485497008872,0.0172938655218969
"WI","White",FALSE,2012-12-09,2015-12-31,0.00444253216160248,0.00387602677126081
"WI","White",TRUE,2011-01-01,2012-12-08,0.00377603820688014,0.00457908657602547
"WI","Black",FALSE,2012-12-09,2015-12-31,0.0135526116986434,0.0118382157831635
"WI","Black",TRUE,2011-01-01,2012-12-08,0.0106796315804294,0.012931805850731
"WI","Hispanic",FALSE,2012-12-09,2015-12-31,0.0122965676228914,0.010739330604251
"WI","Hispanic",TRUE,2011-01-01,2012-12-08,0.0119023383182456,0.0144086077446468
"FL","White",FALSE,2012-12-09,2015-12-31,0.00259598614544171,0.00264002391426089
"FL","White",TRUE,2011-01-01,2012-12-08,0.00362335948023708,0.00280532806016132
"FL","Black",FALSE,2012-12-09,2015-12-31,0.00736528634107779,0.00748962199793858
"FL","Black",TRUE,2011-01-01,2012-12-08,0.00900789158229838,0.00698273521414068
"FL","Hispanic",FALSE,2012-12-09,2015-12-31,0.00358913317532998,0.00364995683087601
"FL","Hispanic",TRUE,2011-01-01,2012-12-08,0.00446372647758983,0.00345662694981249
"CO","White",FALSE,2012-12-10,2015-12-31,0.00173381136608332,0.00128800260841595
"CO","White",TRUE,2011-01-01,2012-12-09,0.00435451296715031,0.00355834765929653
"CO","Black",FALSE,2012-12-10,2015-12-31,0.00547991013685854,0.00407481207103553
"CO","Black",TRUE,2011-01-01,2012-12-09,0.0115620602005831,0.00946061163720446
"CO","Hispanic",FALSE,2012-12-10,2015-12-31,0.00471373505290259,0.00350439889729174
"CO","Hispanic",TRUE,2011-01-01,2012-12-09,0.00936826868807287,0.00766245911343115
"WA","White",FALSE,2012-12-09,2015-12-31,0.00103145219963087,0.000579314351823972
"WA","White",TRUE,2011-01-01,2012-12-08,0.00224488356360516,0.00245061611768013
"WA","Black",FALSE,2012-12-09,2015-12-31,0.00169394421939894,0.00095167915291805
"WA","Black",TRUE,2011-01-01,2012-12-08,0.00409270989390277,0.00446702848914987
"WA","Hispanic",FALSE,2012-12-09,2015-12-31,0.00200949989903426,0.00112911869084022
"WA","Hispanic",TRUE,2011-01-01,2012-12-08,0.00382907211640221,0.0041793796309576
